icao_id,name,state,wban_id,wmo_id,lat,lng,elevation_feet
KTKV,Tomahawk Regional Airport,WI,54953,,45.46801,-89.80962,0.0
KY50,"Wautoma, Wautoma Municipal Airport",WI,00132,,44.04139,-89.30444,262.13
KC29,Middleton Muni - Morey Field,WI,00236,,43.1142699,-89.5315336,283.16
KY51,Viroqua Municipal Airport,WI,00241,,43.5794,-90.9131,394.11
KUBE,Cumberland,WI,00316,,45.506,-91.9811,378.26
KBCK,Black River Falls Area Airport,WI,00286,,44.24996,-90.84999,255.12
KPVB,Platteville Municipal Airport,WI,00183,,42.69092,-90.44124,312.12
KEZS,Shawano Municipal Airport,WI,00185,,44.787,-88.56,248.11
KD25,Manitowish Waters Airport,WI,00297,,46.12035,-89.88016,491.03
KOCQ,Oconto J. Douglas Bake Municipal Airport,WI,00464,,44.8742,-87.9096,184.4
KY23,Chetek Municipal Southworth Airport,WI,,,45.3106,-91.6381,321.56
KC35,Reedsburg Municipal Airport,WI,,,43.5259,-89.9832,276.45
KOLG,Solon Springs Municipal Airport,WI,,,46.3148,-91.8164,335.89
K3D2,Ephraim-Gibraltar Airport,WI,,,45.1357,-87.1881,232.56
K82C,New Lisbon Mauston Airport,WI,,,43.8387,-90.1377,276.15
K57C,East Troy Municipal Airport,WI,,,42.7972,-88.3726,262.13
K2P2,Washington Island,WI,,,45.3883,-86.924,199.0
K4R5,La Pointe - Major Gilbert Field,WI,,,46.7887,-90.7587,197.82
KBKW,"Beckley, Raleigh County Memorial Airport",WV,03872,72412,37.795,-81.12472,760.17
KBLF,"Bluefield, Mercer County Airport",WV,03859,,37.29583,-81.20778,870.06
KCKB,"Clarksburg, Clarksburg Benedum Airport",WV,03802,,39.3,-80.22472,367.35
KCRW,"Charleston, Yeager Airport",WV,13866,72414,38.37944,-81.59139,278.1
KEKN,"Elkins, Elkins-Randolph County-Jennings Randolph Field",WV,13729,72417,38.88528,-79.85278,595.74
KHLG,"Wheeling, Wheeling Ohio County Airport",WV,14894,,40.17028,-80.64444,364.33
KHTS,"Huntington, Tri-State Airport",WV,03860,72425,38.365,-82.555,251.28
KLWB,Lewisburg / Greenbrier,WV,53801,,37.86667,-80.4,0.0
KMGW,Morgantown Municipal-Hart Field,WV,13736,,39.64985,-79.92065,373.62
KMRB,Eastern WV Regional Airport/Shepherd Field,WV,13734,,39.40372,-77.975,164.98
KPKB,"Parkersburg, Mid-Ohio Valley Regional Airport",WV,03804,,39.345,-81.43917,245.28
KW99,"Petersburg, Grant County Airport",WV,03725,,38.98333,-79.13333,292.61
KI16,"Pineville, Kee Field Airport",WV,63884,,37.60028,-81.55917,0.0
KW22,"Buckhannon, Upshur County Regional Airport",WV,63832,,39.0,-80.26667,498.35
K3I2,"Point Pleasant, Mason County Airport",WV,63876,,38.91444,-82.09833,0.0
KCBE,"Cumberland, Greater Cumberland Regional Airport",WV,03732,,39.61528,-78.76083,0.0
K6L4,Logan County Airport,WV,,,37.8557,-81.9159,508.1
KBPI,Big Piney - Marbleton Airport,WY,24164,72671,42.57805,-110.10972,2117.95
KBYG,Buffalo - Johnson County Airport,WY,94054,,44.38122,-106.71947,1503.84
KCOD,Cody,WY,24045,72670,44.51667,-109.01667,1552.04
KCPR,"Casper, Natrona County International Airport",WY,24089,72569,42.8975,-106.47306,1621.12
KCYS,"Cheyenne, Cheyenne Airport",WY,24018,72564,41.15789,-104.80812,1864.85
KDGW,"Douglas, Converse County Airport",WY,94057,,42.79417,-105.38194,1502.97
KGCC,"Gillette, Gillette-Campbell County Airport",WY,94023,72665,44.33944,-105.54194,1330.28
KJAC,"Jackson, Jackson Hole Airport",WY,24166,,43.6,-110.73333,1956.51
KLAR,Laramie Regional Airport,WY,24022,,41.3165,-105.67287,2216.83
KLND,Lander,WY,24021,72576,42.81472,-108.72806,1698.46
KP60,Yellowstone Lake,WY,94173,,44.54444,-110.42111,2372.01
KRIW,Riverton Regional Airport,WY,24061,72672,43.06219,-108.44701,1698.99
KRKS,"Rock Springs, Rock Springs-Sweetwater County Airport",WY,24027,,41.59417,-109.06528,2059.99
KRWL,Rawlins Municipal Airport,WY,24057,72669,41.80648,-107.19516,2063.22
KSHR,Sheridan County Airport,WY,24029,72666,44.76031,-106.97411,1210.39
KWRL,"Worland, Worland Municipal Airport",WY,24062,,43.96583,-107.95083,1278.49
KTOR,Torrington Municipal Airport,WY,94053,,42.06134,-104.15842,1278.36
KEVW,Evanston-Uinta County Airport - Burns Field,WY,04111,,41.27306,-111.03056,2175.9
KGEY,South Big Horn County Airport,WY,24048,,44.5174,-108.0752,1190.3
KEMM,KEMMERER,WY,24165,,41.82,-110.56,2220.47
KAFO,Afton WY,WY,,,42.71133,-110.94217,1896.16
KU68,Cowley WY,WY,,,44.91167,-108.4455,1246.63
KDUB,Dubois Municipal Airport,WY,00443,,43.5484,-109.6903,2224.13
KFBR,Fort Bridger WY,WY,00449,,41.392,-110.40683,2145.49
KPNA,"Pinedale, Ralph Wenz Field Airport",WY,94086,,42.79528,-109.80694,0.0
KPOY,Powell Municipal Airport,WY,,,44.8672,-108.7934,1552.04
KSAA,Saratoga WY,WY,00475,,41.44483,-106.8235,2138.48
KECS,Mondell Field,WY,00446,,43.8854,-104.3179,1272.84
KW43,Hulett Municipal Airport,WY,00484,,44.6629,-104.5678,1299.97
KFEW,Francis E Warren Air Force Base Heliport,WY,94006,,41.13332,-104.86719,0.0
KFWZ,South Pass,WY,00342,,42.5167,-108.7833,2588.06
KTBX,Boysen,WY,00353,,43.4667,-108.2333,2225.04
KEHY,Elk Mountain AWOS,WY,,,41.7253,-106.4594,2225.01
K82V,Pine Bluffs Municipal Airport,WY,00426,,41.1533,-104.1302,1570.33
KDWX,Dixon Airport,WY,00444,,41.03704,-107.49976,1996.14
KGUR,Camp Guernsey,WY,,,42.2597,-104.7283,1341.12
K46U,Alpine,WY,,,43.1846,-111.0424,1717.24
KHSG,Hot Springs County Airport,WY,,,43.7136,-108.3897,1492.0
KEAN,Phifer Airfield - Wheatland,WY,,,42.05472,-104.93711,1455.12
